city,area,people,density
Szczytna,8038,5163,64
Szczytno,1062,23343,2198
Szepietowo,196,2171,1108
Szklarska Poręba,7544,6611,88
Szlichtyngowa,155,1288,831
Szprotawa,1095,11912,1088
Sztum,459,9990,2176
Szubin,765,9576,1252
Szydłowiec,2189,11779,538
Szydłów,1621,1106,68
Ścinawa,1354,5589,413
Ślesin,718,3151,439
Śmigiel,530,5703,1076
Śrem,1237,29714,2402
Środa Śląska,1494,9484,635
Środa Wielkopolska,2192,23312,1064
Świątniki Górne,444,2415,544
Świdnica,2176,57310,2634
Świdnik,2035,39312,1932
Świdwin,2238,15594,697
Świebodzice,3043,22830,750
Świebodzin,1693,21763,1285
Świecie,1187,25831,2176
Świeradów-Zdrój,2072,4183,202
Świerzawa,176,2291,1302
Świętochłowice,1331,50012,3757
Świnoujście,20207,40910,202
Tarczyn,523,4129,789
Tarnobrzeg,8540,47047,551
Tarnogród,1069,3351,313
Tarnowskie Góry,8388,61361,732
Tarnów,7238,109062,1507
Tczew,2238,60279,2693
Terespol,1011,5557,550
Tłuszcz,791,8157,1031
Tolkmicko,229,2692,1176
Tomaszów Lubelski,1329,19198,1445
Tomaszów Mazowiecki,4130,62649,1517
Toruń,11572,202074,1746
Torzym,911,2524,277
Toszek,971,3595,370
Trzcianka,1830,17197,940
Trzciel,304,2389,786
Trzcińsko-Zdrój,233,2273,976
Trzebiatów,1025,10009,976
Trzebinia,3194,19846,621
Trzebnica,1061,13322,1256
Trzemeszno,546,7670,1405
Tuchola,1769,13680,773
Tuchów,1810,6671,369
Tuczno,921,1916,208
Tuliszków,700,3270,467
Tułowice,923,3998,433
Turek,1617,27109,1676
Tuszyn,2325,7292,314
Twardogóra,829,6716,810
Tychowo,396,2517,636
Tychy,8181,127831,1563
Tyczyn,967,3816,395
Tykocin,2897,1975,68
Tyszowce,1852,2132,115
Ujazd,1476,1774,120
Ujście,578,3697,640
Ulanów,820,1424,174
Uniejów,1223,2984,244
Urzędów,1291,1709,132
Ustka,1019,15527,1524
Ustroń,5903,16054,272
Ustrzyki Dolne,1679,9132,544
Wadowice,1054,18774,1781
Wałbrzych,8470,112594,1329
Wałcz,3817,25359,664
Warka,2677,11926,445
Warszawa,51724,1777972,3437
Warta,1085,3263,301
Wasilków,2826,11384,403
Wąbrzeźno,853,13605,1595
Wąchock,1602,2764,173
Wągrowiec,1783,25648,1438
Wąsosz,324,2672,825
Wejherowo,2699,49789,1845
Węgliniec,873,2860,328
Węgorzewo,1088,11341,1042
Węgorzyno,685,2831,413
Węgrów,3551,12672,357
Wiązów,916,2257,246
Wielbark,1842,3049,166
Wieleń,446,5919,1327
Wielichowo,124,1767,1425
Wieliczka,1341,23395,1745
Wieluń,1687,22521,1335
Wieruszów,597,8568,1435
Więcbork,431,5966,1384
Wilamowice,1036,3086,298
Wisła,11017,11171,101
Wiślica,471,515,109
Witkowo,831,7893,950
Witnica,824,6763,821
Wleń,722,1778,246
Władysławowo,1367,9958,728
Włocławek,8432,110802,1314
Włodawa,1797,13220,736
Włoszczowa,3030,10043,331
Wodzisław Śląski,4951,48143,972
Wojcieszów,3217,3676,114
Wojkowice,1279,8936,699
Wojnicz,850,3330,392
Wolbórz,1518,2337,154
Wolbrom,1012,8604,850
Wolin,1447,4828,334
Wolsztyn,478,13183,2758
Wołczyn,747,5921,793
Wołomin,1724,37138,2154
Wołów,1854,12425,670
Woźniki,7101,4338,61
Wrocław,29282,640648,2188
Wronki,581,11199,1928
Września,1273,30558,2400
Wschowa,925,13953,1508
Wyrzysk,412,5139,1247
Wysoka,482,2647,549
Wysokie Mazowieckie,1524,9414,618
Wyszków,2078,26890,1294
Wyszogród,1297,2618,202
Wyśmierzyce,1684,886,53
Zabłudów,1430,2464,172
Zabrze,8040,173374,2156
Zagórów,344,3005,874
Zagórz,2229,5120,230
Zakliczyn,402,1642,408
Zaklików,1142,3013,264
Zakopane,8426,27191,323
Zakroczym,1997,3210,161
Zalewo,822,2165,263
Zambrów,1902,22166,1165
Zamość,3034,63813,2103
Zator,1152,3698,321
Zawadzkie,1646,7168,435
Zawichost,2029,1776,88
Zawidów,607,4217,695
Zawiercie,8525,49567,581
Ząbki,1098,36706,3343
Ząbkowice Śląskie,1367,15072,1103
Zbąszynek,358,5021,1403
Zbąszyń,542,7278,1343
Zduny,620,4534,731
Zduńska Wola,2457,42094,1713
Zdzieszowice,1235,11471,929
Zelów,1075,7636,710
Zgierz,4233,56529,1335
Zgorzelec,1588,30521,1922
Zielona Góra,27832,140297,504
Zielonka,7948,17589,221
Ziębice,1507,8759,581
Złocieniec,3228,12950,401
Złoczew,1379,3384,245
Złotoryja,1151,15655,1360
Złotów,1158,18446,1593
Złoty Stok,773,2787,361
Zwierzyniec,619,3194,516
Zwoleń,1591,7737,486
Żabno,1113,4248,382
Żagań,4038,25812,639
Żarki,2544,4568,180
Żarów,757,6755,892
Żary,3349,37682,1125
